,name,total_time,f2l_time,ll_time,cross+1_time,ols_time,pll_time,total_time_percent,f2l_time_percent,ll_time_percent,cross+1_percent,ols_percent,pll_percent,total_stm,f2l_stm,ll_stm,cross+1_stm,ols_stm,pll_stm,total_stps,f2l_stps,ll_stps,cross+1_stps,ols_stps,pll_stps,total_etm,f2l_etm,ll_etm,cross+1_etm,ols_etm,pll_etm,total_etps,f2l_etps,ll_etps,cross+1_etps,ols_etps,pll_etps,cross_type,zbll,num_steps
0,Patrick Ponce,4.59,3.07,1.52,1.3,1.1,0.82,100.0,66.9,33.1,28.3,24.0,17.9,46.0,37.0,9.0,14.0,16.0,1.0,10.02,12.05,5.92,10.77,14.55,1.22,47.0,38.0,9.0,14.0,16.0,1.0,10.24,12.38,5.92,10.77,14.55,1.22,cross,False,7.0
1,Luke Garrett,4.77,3.0,1.77,1.2,1.4,0.8,100.0,62.9,37.1,25.2,29.4,16.8,49.0,28.0,21.0,9.0,13.0,12.0,10.27,9.33,11.86,7.5,9.29,15.0,52.0,30.0,22.0,9.0,14.0,13.0,10.9,10.0,12.43,7.5,10.0,16.25,xcross,False,6.0
2,Ruihang Xu,4.58,2.87,1.71,0.8,1.3,1.01,100.0,62.7,37.3,17.5,28.4,22.1,64.0,37.0,27.0,10.0,19.0,16.0,13.97,12.89,15.79,12.5,14.62,15.84,66.0,39.0,27.0,10.0,20.0,16.0,14.41,13.59,15.79,12.5,15.38,15.84,cross,False,7.0
3,Aryan Chhabra,4.11,3.17,0.94,0.83,0.6,0.94,100.0,77.1,22.9,20.2,14.6,22.9,46.0,32.0,14.0,8.0,9.0,14.0,11.19,10.09,14.89,9.64,15.0,14.89,46.0,32.0,14.0,8.0,9.0,14.0,11.19,10.09,14.89,9.64,15.0,14.89,cross,False,6.0
4,Tymon Kolasiński,5.58,2.08,3.5,0.92,1.48,2.7,100.0,37.3,62.7,16.5,26.5,48.4,55.0,23.0,32.0,7.0,18.0,25.0,9.86,11.06,9.14,7.61,12.16,9.26,57.0,24.0,33.0,7.0,19.0,26.0,10.22,11.54,9.43,7.61,12.84,9.63,xxcross,False,5.0
5,Kyle Santucci,3.82,2.65,1.17,1.38,1.62,0.27,100.0,69.4,30.6,36.1,42.4,7.1,45.0,33.0,12.0,14.0,23.0,1.0,11.78,12.45,10.26,10.14,14.2,3.7,48.0,36.0,12.0,15.0,24.0,1.0,12.57,13.58,10.26,10.87,14.81,3.7,cross,False,6.0
6,Kyle Santucci,4.93,2.52,2.41,0.57,2.22,0.86,100.0,51.1,48.9,11.6,45.0,17.4,54.0,28.0,26.0,6.0,20.0,15.0,10.95,11.11,10.79,10.53,9.01,17.44,56.0,30.0,26.0,6.0,20.0,15.0,11.36,11.9,10.79,10.53,9.01,17.44,xcross,False,6.0
7,Kyle Santucci,4.94,3.42,1.52,1.18,1.55,0.89,100.0,69.2,30.8,23.9,31.4,18.0,56.0,36.0,20.0,9.0,20.0,13.0,11.34,10.53,13.16,7.63,12.9,14.61,57.0,37.0,20.0,9.0,20.0,13.0,11.54,10.82,13.16,7.63,12.9,14.61,cross,False,7.0
8,Tymon Kolasiński,6.09,3.37,2.72,1.78,1.58,1.69,100.0,55.3,44.7,29.2,25.9,27.8,63.0,34.0,29.0,14.0,19.0,17.0,10.34,10.09,10.66,7.87,12.03,10.06,65.0,36.0,29.0,14.0,20.0,17.0,10.67,10.68,10.66,7.87,12.66,10.06,cross,False,7.0
9,Tymon Kolasiński,6.19,3.68,2.51,1.2,1.95,1.09,100.0,59.5,40.5,19.4,31.5,17.6,58.0,26.0,32.0,9.0,19.0,16.0,9.37,7.07,12.75,7.5,9.74,14.68,60.0,28.0,32.0,9.0,20.0,16.0,9.69,7.61,12.75,7.5,10.26,14.68,xcross,False,6.0
